month,day,hour,minute,dry_bulb_c,relative_humidity_pct,global_horizontal_radiation_wh_m2,direct_normal_radiation_wh_m2,diffuse_horizontal_radiation_wh_m2,wind_speed_m_s
7,1,1,0,17.00,86,0,0,0,0.00
7,1,2,0,16.10,87,0,0,0,0.00
7,1,3,0,15.80,86,0,0,0,0.00
7,1,4,0,15.90,86,0,0,0,0.00
7,1,5,0,16.40,85,0,0,0,0.00
7,1,6,0,17.70,82,117,303,52,0.00
7,1,7,0,16.90,85,263,462,95,0.00
7,1,8,0,17.80,84,431,582,125,0.00
7,1,9,0,20.20,74,596,681,142,0.00
7,1,10,0,22.60,65,735,738,156,0.00
7,1,11,0,25.00,58,836,773,164,0.00
7,1,12,0,26.30,53,888,786,169,0.00
7,1,13,0,27.60,50,888,781,172,0.00
7,1,14,0,28.90,46,826,750,169,0.00
7,1,15,0,29.30,45,709,691,159,0.00
7,1,16,0,29.60,44,579,648,140,0.00
7,1,17,0,30.00,43,428,579,114,0.00
7,1,18,0,29.60,44,263,453,89,0.00
7,1,19,0,29.30,45,116,262,53,0.00
7,1,20,0,28.90,46,24,68,16,0.00
7,1,21,0,26.70,43,1,0,1,0.00
7,1,22,0,24.40,67,0,0,0,0.00
7,1,23,0,22.20,82,0,0,0,0.00
7,1,24,0,21.80,79,0,0,0,0.00
7,2,1,0,21.50,76,0,0,0,0.00
7,2,2,0,21.10,73,0,0,0,0.00
7,2,3,0,20.00,80,0,0,0,0.00
7,2,4,0,18.90,88,0,0,0,0.00
7,2,5,0,17.80,96,0,0,0,0.00
7,2,6,0,18.90,91,105,247,52,0.00
7,2,7,0,20.00,86,227,359,97,0.00
7,2,8,0,21.10,81,315,373,124,0.00
7,2,9,0,22.80,73,397,367,153,0.70
7,2,10,0,24.40,65,554,468,183,1.40
7,2,11,0,26.10,58,654,516,208,2.10
7,2,12,0,27.00,55,649,422,263,2.40
7,2,13,0,28.00,52,651,402,283,2.80
7,2,14,0,28.90,49,582,349,274,3.10
7,2,15,0,28.90,48,488,267,276,2.90
7,2,16,0,28.90,47,396,223,242,2.80
7,2,17,0,28.90,46,232,126,161,2.60
7,2,18,0,28.50,52,105,54,83,1.70
7,2,19,0,28.20,59,55,43,47,0.90
7,2,20,0,27.80,67,21,27,18,0.00
7,2,21,0,26.10,51,1,0,1,0.00
7,2,22,0,24.50,69,0,0,0,0.00
7,2,23,0,22.80,71,0,0,0,0.00
7,2,24,0,21.50,75,0,0,0,0.00
7,3,1,0,20.20,79,0,0,0,0.00
7,3,2,0,18.90,84,0,0,0,0.00
7,3,3,0,18.50,84,0,0,0,0.00
7,3,4,0,18.20,84,0,0,0,0.00
7,3,5,0,17.80,84,0,0,0,0.00
7,3,6,0,17.80,88,92,151,59,0.00
7,3,7,0,17.80,92,237,357,100,0.00
7,3,8,0,17.80,76,411,550,124,0.00
7,3,9,0,19.80,85,569,635,146,0.00
7,3,10,0,21.90,75,690,661,173,0.00
7,3,11,0,23.90,66,730,601,210,0.00
7,3,12,0,25.20,62,629,453,216,0.30
7,3,13,0,26.50,58,599,387,245,0.70
7,3,14,0,27.80,55,648,441,263,1.00
7,3,15,0,27.80,55,531,358,242,1.00
7,3,16,0,27.80,55,356,162,241,1.00
7,3,17,0,27.80,55,235,70,197,1.00
7,3,18,0,26.10,57,143,40,126,1.50
7,3,19,0,24.50,59,72,24,67,2.10
7,3,20,0,22.80,61,23,13,21,2.60
7,3,21,0,21.90,69,1,0,1,1.70
7,3,22,0,20.90,78,0,0,0,0.90
7,3,23,0,20.00,87,0,0,0,0.00
7,3,24,0,19.10,89,0,0,0,0.00
7,4,1,0,18.10,91,0,0,0,0.00
7,4,2,0,17.20,93,0,0,0,0.00
7,4,3,0,16.80,93,0,0,0,0.00
7,4,4,0,16.50,93,0,0,0,0.00
7,4,5,0,16.10,93,0,0,0,0.00
7,4,6,0,16.50,89,104,226,55,0.00
7,4,7,0,16.80,85,253,428,93,0.00
7,4,8,0,17.20,81,430,598,118,0.00
7,4,9,0,19.40,72,597,691,138,0.00
7,4,10,0,21.70,64,738,748,153,0.00
