episode,reward,energy_term,zat_term,sat_term,gradient_steps_first_step,backend
1,-4453.6023270127625,-156.458539991873,-1582.8694996724043,-2714.274287348485,100,surrogate_policy_fallback
2,-4438.181894036666,-156.8311792051022,-1585.0959641795168,-2696.2547506520464,1,surrogate_policy_fallback
3,-4425.4104566259175,-156.87093471471357,-1579.4789637923348,-2689.0605581188693,1,surrogate_policy_fallback
4,-4434.3531283632265,-156.91647493881726,-1581.8574843315535,-2695.5791690928563,1,surrogate_policy_fallback
5,-4441.159455659636,-156.3554344156602,-1580.235964645769,-2704.5680565982066,1,surrogate_policy_fallback
6,-4433.882602830166,-156.80939810737095,-1582.9003992588807,-2694.1728054639148,1,surrogate_policy_fallback
7,-4439.074067687931,-156.54418206042484,-1580.8077985931714,-2701.722087034335,1,surrogate_policy_fallback
8,-4467.719599356198,-156.05209255310018,-1585.2005637931024,-2726.466943009995,1,surrogate_policy_fallback
9,-4441.114969882241,-156.5634644449408,-1584.7756389556791,-2699.775866481621,1,surrogate_policy_fallback
10,-4441.905302875957,-156.52932205357672,-1588.7872847018912,-2696.5886961204897,1,surrogate_policy_fallback
11,-4437.81974032755,-156.59648804019128,-1583.3186345786721,-2697.9046177086866,1,surrogate_policy_fallback
12,-4453.480424078863,-156.4544161257164,-1579.5736658728606,-2717.452342080286,1,surrogate_policy_fallback
13,-4431.47216512807,-157.01171287022794,-1586.303707344242,-2688.1567449135996,1,surrogate_policy_fallback
14,-4428.243050437651,-156.99589687642018,-1583.8832367322977,-2687.363916828932,1,surrogate_policy_fallback
15,-4432.716331296437,-156.73335030470702,-1583.2039780088496,-2692.77900298288,1,surrogate_policy_fallback
16,-4447.041065744512,-156.34639580106844,-1586.389710352158,-2704.304959591286,1,surrogate_policy_fallback
17,-4418.1213501342045,-157.14406678090393,-1585.695506080302,-2675.2817772729986,1,surrogate_policy_fallback
18,-4442.511565742763,-156.5837850803449,-1582.9835081840326,-2702.944272478385,1,surrogate_policy_fallback
19,-4425.943884761107,-157.20810930080222,-1585.7157659403526,-2683.020009519952,1,surrogate_policy_fallback
20,-4423.781119269681,-157.01990258382978,-1581.1198329732765,-2685.641383712575,1,surrogate_policy_fallback
